Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN254GD, Y52Q37, Godinton, On or near Lodge Wood Drive
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233FE, Y52Q37, Godinton, On or near Ordinance Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN254PB, Y52Q37, Godinton, On or near Warren View
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN233FJ, Y52Q37, Godinton, On or near Leslie Gilbert Lane
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN240SD, Y52Q37, Norman, On or near Wainwright Place
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN240FW, Y52Q37, Aylesford Green, On or near Hunter Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN240PF, Y52Q37, Aylesford Green, On or near New Town Green
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN240DY, Y52Q37, Aylesford Green, On or near Stroudley Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN240PE, Y52Q37, Aylesford Green, On or near Newtown Road
Burglary: England, Kent, Ashford, Ashford District, South East, TN240SD, Y52Q37, Norman, On or near Wainwright Place
Burglary: England, Kent, Ashford, Ashford District, South East, TN240FW, Y52Q37, Aylesford Green, On or near Hunter Close
Burglary: England, Kent, Ashford, Ashford District, South East, TN240SD, Y52Q37, Norman, On or near Wainwright Place
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN240DY, Y52Q37, Aylesford Green, On or near Hunter Avenue
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN240SD, Y52Q37, Norman, On or near Bulleid Place
Other theft: England, Kent, Ashford, Ashford District, South East, TN240SD, Y52Q37, Norman, On or near Stirlng Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN240EX, Y52Q37, Aylesford Green, On or near Alsops Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN240PE, Y52Q37, Aylesford Green, On or near Newtown Road
Public order: England, Kent, Ashford, Ashford District, South East, TN240SD, Y52Q37, Norman, On or near Wainwright Place
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN240FX, Y52Q37, Aylesford Green, On or near Aylesford Place
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240SD, Y52Q37, Norman, On or near Stirlng Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240PE, Y52Q37, Aylesford Green, On or near Newtown Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240PE, Y52Q37, Aylesford Green, On or near Newtown Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240PE, Y52Q37, Aylesford Green, On or near Drummond Grove
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240PF, Y52Q37, Aylesford Green, On or near New Town Green
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240DY, Y52Q37, Aylesford Green, On or near Stroudley Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240SD, Y52Q37, Norman, On or near Wainwright Place
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240PE, Y52Q37, Aylesford Green, On or near Drummond Grove
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240PL, Y52Q37, Aylesford Green, On or near Alfred Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN240DY, Y52Q37, Aylesford Green, On or near Billington Grove
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN237TG, Y52Q37, Norman, On or near Rugby Gardens
Drugs: England, Kent, Ashford, Ashford District, South East, TN237ST, Y52Q37, Norman, On or near Lower Denmark Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN237TZ, Y52Q37, Norman, On or near Providence Street
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN237UF, Y52Q37, Victoria, On or near Norman Road
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN237UF, Y52Q37, Victoria, On or near Norman Road
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN237UF, Y52Q37, Victoria, On or near Norman Road
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN237UF, Y52Q37, Victoria, On or near Norman Road
